iter	Passed	Remaining
0	197	394446
1	228	228372
2	245	163488
3	264	132160
4	276	110376
5	308	102359
6	338	96329
7	364	90832
8	387	85701
9	399	79526
10	430	77754
11	462	76619
12	492	75342
13	522	74153
14	550	72872
15	580	71978
16	589	68759
17	615	67723
18	642	66994
19	673	66673
20	705	66502
21	737	66349
22	752	64642
23	760	62600
24	774	61200
25	808	61364
26	839	61376
27	869	61266
28	883	60074
29	909	59755
30	919	58408
31	949	58418
32	981	58502
33	994	57517
34	1016	57066
35	1048	57209
36	1080	57316
37	1111	57364
38	1119	56290
39	1150	56379
40	1178	56328
41	1200	55957
42	1230	56017
43	1248	55520
44	1279	55567
45	1308	55603
46	1337	55593
47	1368	55644
48	1386	55198
49	1399	54570
50	1428	54602
51	1459	54681
52	1490	54740
53	1503	54165
54	1517	53646
55	1530	53143
56	1541	52538
57	1565	52429
58	1585	52169
59	1613	52180
60	1644	52270
61	1658	51851
62	1667	51256
63	1697	51355
64	1714	51039
65	1742	51066
66	1772	51141
67	1801	51188
68	1810	50662
69	1831	50495
70	1840	50017
71	1870	50099
72	1900	50155
73	1929	50222
74	1959	50297
75	1991	50414
76	2020	50467
77	2048	50484
78	2077	50516
79	2106	50566
80	2138	50675
81	2172	50804
82	2185	50471
83	2213	50494
84	2243	50546
85	2264	50400
86	2296	50495
87	2331	50652
88	2367	50832
89	2396	50869
90	2425	50872
91	2454	50898
92	2478	50818
93	2508	50858
94	2534	50823
95	2566	50902
96	2594	50909
97	2623	50908
98	2653	50948
99	2687	51055
100	2718	51118
101	2747	51124
102	2779	51185
103	2806	51173
104	2836	51201
105	2865	51200
106	2894	51202
107	2924	51234
108	2955	51271
109	2990	51390
110	3025	51484
111	3057	51537
112	3086	51547
113	3116	51557
114	3144	51538
115	3172	51528
116	3202	51548
117	3229	51505
118	3256	51478
119	3285	51471
120	3314	51472
121	3343	51472
122	3372	51462
123	3401	51462
124	3429	51443
125	3457	51426
126	3487	51429
127	3517	51443
128	3545	51428
129	3575	51426
130	3604	51419
131	3632	51403
132	3661	51401
133	3690	51389
134	3717	51362
135	3747	51368
136	3778	51377
137	3808	51389
138	3836	51364
139	3865	51357
140	3894	51350
141	3911	51179
142	3940	51170
143	3972	51201
144	4004	51229
145	4024	51109
146	4054	51108
147	4083	51103
148	4092	50842
149	4110	50696
150	4139	50686
151	4167	50668
152	4187	50556
153	4200	50347
154	4216	50186
155	4245	50184
156	4273	50168
157	4304	50177
158	4334	50190
159	4364	50190
160	4394	50196
161	4425	50207
162	4454	50205
163	4484	50206
164	4497	50019
165	4529	50040
166	4559	50046
167	4572	49866
168	4606	49903
169	4634	49892
170	4663	49882
171	4693	49880
172	4721	49859
173	4750	49856
174	4782	49875
175	4811	49865
176	4824	49687
177	4840	49548
178	4872	49568
179	4904	49589
180	4936	49605
181	4950	49449
182	4981	49462
183	5012	49471
184	5043	49480
185	5073	49478
186	5102	49474
187	5131	49460
188	5162	49464
189	5194	49487
190	5225	49488
191	5253	49474
192	5285	49486
193	5316	49488
194	5346	49488
195	5376	49488
196	5389	49330
197	5423	49362
198	5456	49384
199	5486	49380
200	5516	49378
201	5548	49383
202	5578	49382
203	5613	49418
204	5643	49415
205	5674	49414
206	5683	49226
207	5715	49239
208	5747	49254
209	5799	49434
210	5848	49588
211	5885	49638
212	5911	49594
213	5944	49612
214	5980	49654
215	6015	49685
216	6051	49723
217	6073	49648
218	6104	49643
219	6136	49652
220	6167	49648
221	6197	49634
222	6231	49657
223	6246	49525
224	6279	49538
225	6312	49551
226	6346	49566
227	6379	49581
228	6411	49583
229	6444	49591
230	6476	49598
231	6489	49456
232	6526	49492
233	6536	49331
234	6569	49340
235	6587	49239
236	6617	49227
237	6648	49222
238	6679	49217
239	6709	49202
240	6743	49217
241	6777	49235
242	6812	49254
243	6844	49260
244	6862	49154
245	6892	49146
246	6922	49133
247	6953	49125
248	6985	49122
249	7020	49141
250	7056	49167
251	7095	49219
252	7128	49221
253	7160	49222
254	7191	49211
255	7226	49228
256	7257	49220
257	7293	49246
258	7329	49268
259	7364	49287
260	7395	49276
261	7426	49265
262	7458	49260
263	7494	49279
264	7524	49262
265	7559	49276
266	7592	49278
267	7623	49268
268	7654	49254
269	7686	49252
270	7717	49240
271	7748	49227
272	7780	49221
273	7813	49220
274	7846	49218
275	7881	49228
276	7916	49242
277	7946	49223
278	7978	49214
279	8012	49219
280	8045	49218
281	8077	49208
282	8109	49199
283	8130	49128
284	8149	49040
285	8181	49030
286	8215	49033
287	8250	49045
288	8283	49043
289	8317	49047
290	8354	49062
291	8388	49064
292	8420	49059
